group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
40R_40V_02F_06M;LR2_2_1;0.0027;0.0;0.4815;0.5028;0.2528;0.1111;0.375
40R_40V_02F_06M;LR2_2_2;0.0004;0.0;0.6296;0.4859;0.2361;5.4444;0.425
40R_40V_02F_06M;LR2_2_3;0.0;0.0;0.5432;0.5012;0.2512;0.6049;0.55
40R_40V_02F_06M;LR2_2_4;0.0;0.0;0.3827;0.4891;0.2392;4.4568;0.425
40R_40V_02F_06M;LR2_2_5;0.0;0.0;0.5062;0.5031;0.2531;0.0123;0.475
40R_40V_04F_06M;LR2_2_1;0.0065;0.0;1.4198;1.2027;1.4466;3.1975;0.7
40R_40V_04F_06M;LR2_2_2;0.0004;0.0;1.6667;1.1068;1.225;5.5679;0.65
40R_40V_04F_06M;LR2_2_3;0.001;0.0;1.4074;1.1155;1.2444;2.1111;0.725
40R_40V_04F_06M;LR2_2_4;0.0;0.0;1.3457;1.1636;1.354;5.5679;0.675
40R_40V_04F_06M;LR2_2_5;0.0;0.0;1.5185;1.1738;1.3778;1.0247;0.625
60R_60V_02F_06M;LR2_2_1;0.0065;0.004;0.4793;0.5017;0.2517;0.2066;0.5333
60R_60V_02F_06M;LR2_2_2;0.0;0.0;0.5537;0.4992;0.2492;1.3967;0.5167
60R_60V_02F_06M;LR2_2_3;0.0;0.0;0.4711;0.5012;0.2512;0.405;0.5167
60R_60V_02F_06M;LR2_2_4;0.0;0.0;0.438;0.4982;0.2482;1.8595;0.4167
60R_60V_02F_06M;LR2_2_5;0.0;0.0;0.562;0.4982;0.2482;1.8595;0.4667
60R_60V_04F_06M;LR2_2_1;0.5043;0.0072;1.438;1.1247;1.2649;0.4215;0.7833
60R_60V_04F_06M;LR2_2_2;0.0002;0.0;1.4463;1.1325;1.2825;2.8678;0.8333
60R_60V_04F_06M;LR2_2_3;0.0001;0.0;1.4793;1.1409;1.3017;0.6198;0.7667
60R_60V_04F_06M;LR2_2_4;0.0;0.0;1.3802;1.178;1.3876;4.6529;0.6167
60R_60V_04F_06M;LR2_2_5;0.0;0.0;1.6364;1.1106;1.2333;2.5372;0.7667
