group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02F_04M;lr101;0.0481;0.0;0.6154;0.5064;0.2564;0.6923;0.3333
06R_06V_02F_04M;lr102;0.0143;0.0;0.6154;0.5064;0.2564;0.6923;0.3333
06R_06V_02F_04M;lr103;0.0;0.0;0.5385;0.5189;0.2692;0.0769;0.5
06R_06V_02F_04M;lr104;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.0
06R_06V_02F_04M;lr105;0.0317;0.0;0.3077;0.4804;0.2308;1.9231;0.3333
06R_06V_04F_04M;lr101;0.1089;0.0;1.2308;1.3009;1.6923;4.5385;0.3333
06R_06V_04F_04M;lr102;0.0273;0.0;2.0;1.1547;1.3333;3.3077;0.6666
06R_06V_04F_04M;lr103;0.0033;0.0;1.3077;1.1821;1.3974;0.8462;0.8333
06R_06V_04F_04M;lr104;0.0871;0.0;1.3846;1.1929;1.4231;0.2308;0.3333
06R_06V_04F_04M;lr105;0.0515;0.0;1.2308;1.3009;1.6923;3.9231;0.6666
08R_08V_02F_04M;lr101;0.0147;0.0;0.3529;0.4926;0.2426;1.4706;0.5
08R_08V_02F_04M;lr102;0.0472;0.0;0.5882;0.5073;0.2574;0.5294;0.5
08R_08V_02F_04M;lr103;0.0;0.0;0.5294;0.5145;0.2647;0.0588;0.625
08R_08V_02F_04M;lr104;0.0248;0.0;0.4118;0.5073;0.2574;0.5294;0.625
08R_08V_02F_04M;lr105;0.0312;0.0;0.4706;0.5145;0.2647;0.0588;0.5
08R_08V_04F_04M;lr101;0.0359;0.0;1.0588;1.088;1.1838;3.0;0.75
08R_08V_04F_04M;lr102;0.1136;0.0;1.6471;1.3201;1.7426;3.4706;0.75
08R_08V_04F_04M;lr103;0.0341;0.0;1.2353;1.0914;1.1912;1.5882;0.875
08R_08V_04F_04M;lr104;0.0793;0.0;1.3529;1.2217;1.4926;1.1176;1.0
08R_08V_04F_04M;lr105;0.0523;0.0;1.2941;1.3117;1.7206;3.4706;0.75
10R_10V_02F_04M;lr101;0.0123;0.0;0.3333;0.483;0.2333;2.3333;0.5
10R_10V_02F_04M;lr102;0.0291;0.0;0.619;0.4976;0.2476;1.1905;0.3
10R_10V_02F_04M;lr103;0.0244;0.0231;0.4762;0.5118;0.2619;0.0476;0.8
10R_10V_02F_04M;lr104;0.0271;0.0;0.381;0.4976;0.2476;1.1905;0.4
10R_10V_02F_04M;lr105;0.0364;0.0;0.5714;0.5071;0.2571;0.4286;0.8
10R_10V_04F_04M;lr101;0.0214;0.0;1.1905;1.0305;1.0619;3.1905;0.6
10R_10V_04F_04M;lr102;0.0613;0.0;1.8571;1.2762;1.6286;6.2381;0.6
10R_10V_04F_04M;lr103;0.0349;0.0;1.4286;1.0757;1.1571;0.5238;1.0
10R_10V_04F_04M;lr104;0.0428;0.0;1.4286;1.2071;1.4571;1.6667;0.8
10R_10V_04F_04M;lr105;0.1045;0.0;1.5238;1.3274;1.7619;4.3333;0.9
12R_12V_02F_04M;lr101;0.0309;0.0;0.44;0.5066;0.2567;0.36;0.75
12R_12V_02F_04M;lr102;0.0303;0.0;0.52;0.5099;0.26;0.04;0.5833
12R_12V_02F_04M;lr103;0.0156;0.0;0.44;0.5066;0.2567;0.36;0.5833
12R_12V_02F_04M;lr104;0.0327;0.0;0.44;0.5066;0.2567;0.36;0.75
12R_12V_02F_04M;lr105;0.0446;0.0;0.52;0.5099;0.26;0.04;0.5833
12R_12V_04F_04M;lr101;0.0826;0.0;1.4;1.118;1.25;0.44;1.0
12R_12V_04F_04M;lr102;0.1239;0.0;1.8;1.2247;1.5;3.96;0.75
12R_12V_04F_04M;lr103;0.0208;0.0;1.48;1.0847;1.1767;0.76;0.8333
12R_12V_04F_04M;lr104;0.0384;0.0;1.4;1.118;1.25;0.44;0.75
12R_12V_04F_04M;lr105;0.0616;0.0;1.48;1.1944;1.4267;0.44;0.8333
