group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02I_04M;lr101;0.0073;0.0;0.5385;0.5189;0.2692;0.0769;0.1667
06R_06V_02I_04M;lr102;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02I_04M;lr103;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02I_04M;lr104;0.0;0.0;0.1538;0.3755;0.141;6.2308;0.0
06R_06V_02I_04M;lr105;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.0
06R_06V_02I_04M;lr201;0.0;0.0;0.3077;0.4804;0.2308;1.9231;0.0
06R_06V_02I_04M;lr202;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02I_04M;lr203;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.3333
06R_06V_02I_04M;lr204;0.0;0.0;0.6154;0.5064;0.2564;0.6923;0.6667
06R_06V_02I_04M;lr205;0.0;0.0;0.3077;0.4804;0.2308;1.9231;0.3333
06R_06V_04I_04M;lr101;0.0238;0.0;1.3077;1.1821;1.3974;0.8462;0.1667
06R_06V_04I_04M;lr102;0.0007;0.0;1.3077;1.1821;1.3974;0.8462;0.5
06R_06V_04I_04M;lr103;0.0;0.0;1.3846;1.3253;1.7564;2.0769;0.0
06R_06V_04I_04M;lr104;0.0;0.0;1.0769;1.1875;1.4103;3.3077;0.1667
06R_06V_04I_04M;lr105;0.0486;0.0;1.5385;1.1983;1.4359;0.8462;0.3333
06R_06V_04I_04M;lr201;0.0;0.0;1.6923;1.3156;1.7308;2.6923;0.3333
06R_06V_04I_04M;lr202;0.0;0.0;1.1538;1.2142;1.4744;2.6923;0.3333
06R_06V_04I_04M;lr203;0.0;0.0;1.0;0.9129;0.8333;4.5385;0.6667
06R_06V_04I_04M;lr204;0.0;0.0;1.2308;1.0127;1.0256;2.6923;0.8333
06R_06V_04I_04M;lr205;0.0;0.0;1.0769;1.2558;1.5769;3.9231;0.6667
08R_08V_02I_04M;lr101;0.0;0.0;0.6471;0.4926;0.2426;1.4706;0.125
08R_08V_02I_04M;lr102;0.0176;0.0;0.4706;0.5145;0.2647;0.0588;0.25
08R_08V_02I_04M;lr103;0.0;0.0;0.5294;0.5145;0.2647;0.0588;0.125
08R_08V_02I_04M;lr104;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.0
08R_08V_02I_04M;lr105;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.0
08R_08V_02I_04M;lr201;0.0;0.0;0.2353;0.4372;0.1912;4.7647;0.25
08R_08V_02I_04M;lr202;0.0;0.0;0.4706;0.5145;0.2647;0.0588;0.25
08R_08V_02I_04M;lr203;0.0;0.0;0.5294;0.5145;0.2647;0.0588;0.375
08R_08V_02I_04M;lr204;0.0;0.0;0.4118;0.5073;0.2574;0.5294;0.375
08R_08V_02I_04M;lr205;0.0;0.0;0.4706;0.5145;0.2647;0.0588;0.25
08R_08V_04I_04M;lr101;0.1403;0.0;1.6471;1.3201;1.7426;3.4706;0.375
08R_08V_04I_04M;lr102;0.0;0.0;1.1765;1.0744;1.1544;2.0588;0.25
08R_08V_04I_04M;lr103;0.0;0.0;1.4118;1.0037;1.0074;3.0;0.25
08R_08V_04I_04M;lr104;0.0;0.0;1.5882;1.0641;1.1324;0.6471;0.125
08R_08V_04I_04M;lr105;0.0643;0.0;1.5882;1.0641;1.1324;0.6471;0.375
08R_08V_04I_04M;lr201;0.0;0.0;1.1765;1.0146;1.0294;5.3529;0.5
08R_08V_04I_04M;lr202;0.0;0.0;1.6471;1.0572;1.1176;1.1176;0.5
08R_08V_04I_04M;lr203;0.0;0.0;0.7059;0.9196;0.8456;9.1176;0.375
08R_08V_04I_04M;lr204;0.0;0.0;1.0588;1.088;1.1838;3.0;0.625
08R_08V_04I_04M;lr205;0.0;0.0;1.0;1.118;1.25;5.3529;0.75
10R_10V_02I_04M;lr101;0.0567;0.0;0.6667;0.483;0.2333;2.3333;0.2
10R_10V_02I_04M;lr102;0.0085;0.0;0.4762;0.5118;0.2619;0.0476;0.2
10R_10V_02I_04M;lr103;0.0;0.0;0.5238;0.5118;0.2619;0.0476;0.1
10R_10V_02I_04M;lr104;0.0;0.0;0.2381;0.4364;0.1905;5.7619;0.1
10R_10V_02I_04M;lr105;0.0;0.0;0.2857;0.4629;0.2143;3.8571;0.0
10R_10V_02I_04M;lr201;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.2
10R_10V_02I_04M;lr202;0.0;0.0;0.381;0.4976;0.2476;1.1905;0.2
10R_10V_02I_04M;lr203;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.4
10R_10V_02I_04M;lr204;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.4
10R_10V_02I_04M;lr205;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.4
10R_10V_04I_04M;lr101;0.0468;0.0;1.6667;1.3166;1.7333;5.0952;0.3
10R_10V_04I_04M;lr102;0.0183;0.0;1.2857;1.0556;1.1143;1.2857;0.3
10R_10V_04I_04M;lr103;0.0;0.0;1.5238;1.2891;1.6619;2.4286;0.1
10R_10V_04I_04M;lr104;0.0;0.0;1.0952;1.0911;1.1905;6.2381;0.1
10R_10V_04I_04M;lr105;0.0;0.0;1.2857;1.0556;1.1143;1.2857;0.1
10R_10V_04I_04M;lr201;0.0;0.0;1.4286;1.1212;1.2571;1.2857;0.5
10R_10V_04I_04M;lr202;0.0;0.0;1.2857;1.1019;1.2143;1.2857;0.7
10R_10V_04I_04M;lr203;0.0;0.0;0.9524;1.0235;1.0476;5.0952;0.5
10R_10V_04I_04M;lr204;0.0;0.0;1.381;0.9735;0.9476;4.7143;0.6
10R_10V_04I_04M;lr205;0.0;0.0;1.0;1.1402;1.3;5.8571;0.5
12R_12V_02I_04M;lr101;0.0476;0.0;0.56;0.5066;0.2567;0.36;0.1667
12R_12V_02I_04M;lr102;0.0068;0.0;0.32;0.4761;0.2267;3.24;0.1667
12R_12V_02I_04M;lr103;0.0;0.0;0.4;0.5;0.25;1.0;0.0
12R_12V_02I_04M;lr104;0.0;0.0;0.52;0.5099;0.26;0.04;0.0833
12R_12V_02I_04M;lr105;0.0726;0.0;0.56;0.5066;0.2567;0.36;0.1667
12R_12V_02I_04M;lr201;0.0;0.0;0.4;0.5;0.25;1.0;0.1667
12R_12V_02I_04M;lr202;0.0;0.0;0.48;0.5099;0.26;0.04;0.3333
12R_12V_02I_04M;lr203;0.0;0.0;0.44;0.5066;0.2567;0.36;0.4167
12R_12V_02I_04M;lr204;0.0;0.0;0.56;0.5066;0.2567;0.36;0.3333
12R_12V_02I_04M;lr205;0.0;0.0;0.48;0.5099;0.26;0.04;0.5
12R_12V_04I_04M;lr101;0.0939;0.0174;1.52;1.159;1.3433;5.88;0.25
12R_12V_04I_04M;lr102;0.0108;0.0;1.36;1.2871;1.6567;4.28;0.1667
12R_12V_04I_04M;lr103;0.0;0.0;1.52;1.0847;1.1767;0.76;0.1667
12R_12V_04I_04M;lr104;0.0;0.0;1.0;1.0;1.0;5.24;0.25
12R_12V_04I_04M;lr105;0.0;0.0;1.48;1.0847;1.1767;0.76;0.0833
12R_12V_04I_04M;lr201;0.0;0.0;1.36;1.2543;1.5733;5.24;0.4167
12R_12V_04I_04M;lr202;0.0;0.0;1.36;1.3191;1.74;5.24;0.75
12R_12V_04I_04M;lr203;0.0;0.0;1.04;1.0985;1.2067;5.56;0.3333
12R_12V_04I_04M;lr204;0.0;0.0;1.36;1.0755;1.1567;1.4;0.5
12R_12V_04I_04M;lr205;0.0;0.0;1.28;1.0214;1.0433;3.32;0.6667
