group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
60R_60V_02I_06M;LR1_2_1;0.1714;0.0125;0.405;0.4929;0.243;4.3719;0.0833
60R_60V_02I_06M;LR1_2_2;0.0086;0.0;0.4876;0.5019;0.2519;0.0744;0.0833
60R_60V_02I_06M;LR1_2_3;0.5221;0.0113;0.3554;0.4806;0.231;10.124;0.05
60R_60V_02I_06M;LR1_2_4;0.0096;0.0;0.405;0.4929;0.243;4.3719;0.05
60R_60V_02I_06M;LR1_2_5;0.0014;0.0;0.4298;0.4971;0.2471;2.3884;0.1
60R_60V_02I_06M;LR2_2_1;0.0;0.0;0.4876;0.5019;0.2519;0.0744;0.1167
60R_60V_02I_06M;LR2_2_2;0.0;0.0;0.4959;0.5021;0.2521;0.0083;0.2
60R_60V_02I_06M;LR2_2_3;0.0;0.0;0.4793;0.5017;0.2517;0.2066;0.2667
60R_60V_02I_06M;LR2_2_4;0.0;0.0;0.4132;0.4945;0.2445;3.6446;0.2667
60R_60V_02I_06M;LR2_2_5;0.0;0.0;0.5289;0.5012;0.2512;0.405;0.3667
60R_60V_04I_06M;LR1_2_1;0.5469;0.0242;1.7107;1.1287;1.274;4.7851;0.25
60R_60V_04I_06M;LR1_2_2;0.4413;0.0158;1.5207;1.1698;1.3683;4.7851;0.2167
60R_60V_04I_06M;LR1_2_3;0.2094;0.004;1.7521;1.1781;1.388;10.5372;0.2667
60R_60V_04I_06M;LR1_2_4;0.0578;0.004;1.3802;1.2333;1.5209;13.4463;0.1333
60R_60V_04I_06M;LR1_2_5;0.0738;0.004;1.4463;1.0951;1.1992;2.0744;0.1667
60R_60V_04I_06M;LR2_2_1;0.0016;0.0;1.5289;1.1036;1.2179;0.8843;0.3667
60R_60V_04I_06M;LR2_2_2;0.0002;0.0;1.3719;1.2324;1.5189;12.8512;0.3167
60R_60V_04I_06M;LR2_2_3;0.0;0.0;1.4628;1.1331;1.284;0.2893;0.5167
60R_60V_04I_06M;LR2_2_4;0.0;0.0;1.438;1.0715;1.1482;2.1405;0.4167
60R_60V_04I_06M;LR2_2_5;0.0;0.0;1.405;1.0998;1.2096;2.6694;0.5
