group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02I_04M;lr101;0.0073;0.0;0.5385;0.5189;0.2692;0.0769;0.1667
06R_06V_02I_04M;lr102;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02I_04M;lr103;0.0;0.0;0.3846;0.5064;0.2564;0.6923;0.1667
06R_06V_02I_04M;lr104;0.0;0.0;0.1538;0.3755;0.141;6.2308;0.0
06R_06V_02I_04M;lr105;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.0
06R_06V_04I_04M;lr101;0.0238;0.0;1.3077;1.1821;1.3974;0.8462;0.1667
06R_06V_04I_04M;lr102;0.0007;0.0;1.3077;1.1821;1.3974;0.8462;0.5
06R_06V_04I_04M;lr103;0.0;0.0;1.3846;1.3253;1.7564;2.0769;0.0
06R_06V_04I_04M;lr104;0.0;0.0;1.0769;1.1875;1.4103;3.3077;0.1667
06R_06V_04I_04M;lr105;0.0486;0.0;1.5385;1.1983;1.4359;0.8462;0.3333
08R_08V_02I_04M;lr101;0.0;0.0;0.6471;0.4926;0.2426;1.4706;0.125
08R_08V_02I_04M;lr102;0.0176;0.0;0.4706;0.5145;0.2647;0.0588;0.25
08R_08V_02I_04M;lr103;0.0;0.0;0.5294;0.5145;0.2647;0.0588;0.125
08R_08V_02I_04M;lr104;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.0
08R_08V_02I_04M;lr105;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.0
08R_08V_04I_04M;lr101;0.1403;0.0;1.6471;1.3201;1.7426;3.4706;0.375
08R_08V_04I_04M;lr102;0.0;0.0;1.1765;1.0744;1.1544;2.0588;0.25
08R_08V_04I_04M;lr103;0.0;0.0;1.4118;1.0037;1.0074;3.0;0.25
08R_08V_04I_04M;lr104;0.0;0.0;1.5882;1.0641;1.1324;0.6471;0.125
08R_08V_04I_04M;lr105;0.0643;0.0;1.5882;1.0641;1.1324;0.6471;0.375
10R_10V_02I_04M;lr101;0.0567;0.0;0.6667;0.483;0.2333;2.3333;0.2
10R_10V_02I_04M;lr102;0.0085;0.0;0.4762;0.5118;0.2619;0.0476;0.2
10R_10V_02I_04M;lr103;0.0;0.0;0.5238;0.5118;0.2619;0.0476;0.1
10R_10V_02I_04M;lr104;0.0;0.0;0.2381;0.4364;0.1905;5.7619;0.1
10R_10V_02I_04M;lr105;0.0;0.0;0.2857;0.4629;0.2143;3.8571;0.0
10R_10V_04I_04M;lr101;0.0468;0.0;1.6667;1.3166;1.7333;5.0952;0.3
10R_10V_04I_04M;lr102;0.0183;0.0;1.2857;1.0556;1.1143;1.2857;0.3
10R_10V_04I_04M;lr103;0.0;0.0;1.5238;1.2891;1.6619;2.4286;0.1
10R_10V_04I_04M;lr104;0.0;0.0;1.0952;1.0911;1.1905;6.2381;0.1
10R_10V_04I_04M;lr105;0.0;0.0;1.2857;1.0556;1.1143;1.2857;0.1
12R_12V_02I_04M;lr101;0.0476;0.0;0.56;0.5066;0.2567;0.36;0.1667
12R_12V_02I_04M;lr102;0.0068;0.0;0.32;0.4761;0.2267;3.24;0.1667
12R_12V_02I_04M;lr103;0.0;0.0;0.4;0.5;0.25;1.0;0.0
12R_12V_02I_04M;lr104;0.0;0.0;0.52;0.5099;0.26;0.04;0.0833
12R_12V_02I_04M;lr105;0.0726;0.0;0.56;0.5066;0.2567;0.36;0.1667
12R_12V_04I_04M;lr101;0.0939;0.0174;1.52;1.159;1.3433;5.88;0.25
12R_12V_04I_04M;lr102;0.0108;0.0;1.36;1.2871;1.6567;4.28;0.1667
12R_12V_04I_04M;lr103;0.0;0.0;1.52;1.0847;1.1767;0.76;0.1667
12R_12V_04I_04M;lr104;0.0;0.0;1.0;1.0;1.0;5.24;0.25
12R_12V_04I_04M;lr105;0.0;0.0;1.48;1.0847;1.1767;0.76;0.0833
