group;instname;tw_shift;cap_incr;mean_z;std_z;var_z;chi_squared_z;reqs_split
06R_06V_02I_04M;lr201;0.0;0.0;0.2308;0.4385;0.1923;3.7692;0.16666666666666666
06R_06V_02I_04M;lr202;0.0;0.0;0.3077;0.4804;0.2308;1.9231;0.3333333333333333
06R_06V_02I_04M;lr203;0.0;0.0;0.4615;0.5189;0.2692;0.0769;0.3333333333333333
06R_06V_02I_04M;lr204;0.0;0.0;0.2308;0.4385;0.1923;3.7692;0.5
06R_06V_02I_04M;lr205;0.0;0.0;0.2308;0.4385;0.1923;3.7692;0.16666666666666666
06R_06V_04I_04M;lr201;0.0;0.0;1.6923;1.3156;1.7308;2.6923;0.3333333333333333
06R_06V_04I_04M;lr202;0.0;0.0;1.0769;1.0377;1.0769;2.6923;0.3333333333333333
06R_06V_04I_04M;lr203;0.0;0.0;1.2308;1.3009;1.6923;3.9231;0.5
06R_06V_04I_04M;lr204;0.0;0.0;1.0769;0.9541;0.9103;2.6923;0.8333333333333334
06R_06V_04I_04M;lr205;0.0;0.0;1.6154;1.1929;1.4231;0.2308;0.8333333333333334
08R_08V_02I_04M;lr201;0.0;0.0;0.6471;0.4926;0.2426;1.4706;0.125
08R_08V_02I_04M;lr202;0.0;0.0;0.4706;0.5145;0.2647;0.0588;0.25
08R_08V_02I_04M;lr203;0.0;0.0;0.3529;0.4926;0.2426;1.4706;0.25
08R_08V_02I_04M;lr204;0.0;0.0;0.1765;0.393;0.1544;7.1176;0.375
08R_08V_02I_04M;lr205;0.0;0.0;0.4118;0.5073;0.2574;0.5294;0.125
08R_08V_04I_04M;lr201;0.0;0.0;1.1765;1.1311;1.2794;1.5882;0.5
08R_08V_04I_04M;lr202;0.0;0.0;1.4706;1.2805;1.6397;2.0588;0.5
08R_08V_04I_04M;lr203;0.0;0.0;1.1176;1.0537;1.1103;2.0588;0.5
08R_08V_04I_04M;lr204;0.0;0.0;1.4706;1.1789;1.3897;0.6471;0.5
08R_08V_04I_04M;lr205;0.0;0.0;1.7647;1.1472;1.3162;1.1176;0.75
10R_10V_02I_04M;lr201;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.2
10R_10V_02I_04M;lr202;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.2
10R_10V_02I_04M;lr203;0.0;0.0;0.4762;0.5118;0.2619;0.0476;0.4
10R_10V_02I_04M;lr204;0.0;0.0;0.2381;0.4364;0.1905;5.7619;0.5
10R_10V_02I_04M;lr205;0.0;0.0;0.4286;0.5071;0.2571;0.4286;0.1
10R_10V_04I_04M;lr201;0.003;0.0;1.381;1.2032;1.4476;0.9048;0.5
10R_10V_04I_04M;lr202;0.0;0.0;1.2857;1.1019;1.2143;1.2857;0.7
10R_10V_04I_04M;lr203;0.0;0.0;1.2381;1.0911;1.1905;1.6667;0.4
10R_10V_04I_04M;lr204;0.0;0.0;1.4762;1.167;1.3619;7.0;0.6
10R_10V_04I_04M;lr205;0.0;0.0;1.5714;1.0282;1.0571;2.0476;0.6
12R_12V_02I_04M;lr201;0.0;0.0;0.4;0.5;0.25;1.0;0.16666666666666666
12R_12V_02I_04M;lr202;0.0;0.0;0.28;0.4583;0.21;4.84;0.08333333333333333
12R_12V_02I_04M;lr203;0.0;0.0;0.36;0.4899;0.24;1.96;0.08333333333333333
12R_12V_02I_04M;lr204;0.0;0.0;0.56;0.5066;0.2567;0.36;0.3333333333333333
12R_12V_02I_04M;lr205;0.0;0.0;0.36;0.4899;0.24;1.96;0.08333333333333333
12R_12V_04I_04M;lr201;0.0025;0.0;1.28;1.1;1.21;2.36;0.5
12R_12V_04I_04M;lr202;0.0;0.0;1.24;1.0116;1.0233;5.24;0.5833333333333334
12R_12V_04I_04M;lr203;0.0;0.0;1.32;1.1446;1.31;3.0;0.5833333333333334
12R_12V_04I_04M;lr204;0.0;0.0;1.76;1.2342;1.5233;3.32;0.75
12R_12V_04I_04M;lr205;0.0;0.0;1.36;1.1504;1.3233;1.08;0.75
