group;instname;tw_shift;cap_incr
40R_40V_02I_06M;LR1_2_1;1;1
40R_40V_02I_06M;LR1_2_2;1;1
40R_40V_02I_06M;LR1_2_3;1;0
40R_40V_02I_06M;LR1_2_4;1;0
40R_40V_02I_06M;LR1_2_5;1;1
40R_40V_04I_06M;LR1_2_1;1;1
40R_40V_04I_06M;LR1_2_2;1;1
40R_40V_04I_06M;LR1_2_3;1;1
40R_40V_04I_06M;LR1_2_4;1;0
40R_40V_04I_06M;LR1_2_5;1;1
60R_60V_02I_06M;LR1_2_1;1;1
60R_60V_02I_06M;LR1_2_2;1;0
60R_60V_02I_06M;LR1_2_3;1;1
60R_60V_02I_06M;LR1_2_4;1;0
60R_60V_02I_06M;LR1_2_5;1;0
60R_60V_04I_06M;LR1_2_1;1;1
60R_60V_04I_06M;LR1_2_2;1;1
60R_60V_04I_06M;LR1_2_3;1;1
60R_60V_04I_06M;LR1_2_4;1;1
60R_60V_04I_06M;LR1_2_5;1;1
