group;instname;tw_shift;cap_incr
06R_06V_02I_04M;lr101;1;0
06R_06V_02I_04M;lr102;0;0
06R_06V_02I_04M;lr103;0;0
06R_06V_02I_04M;lr104;0;0
06R_06V_02I_04M;lr105;0;0
06R_06V_04I_04M;lr101;1;0
06R_06V_04I_04M;lr102;1;0
06R_06V_04I_04M;lr103;0;0
06R_06V_04I_04M;lr104;0;0
06R_06V_04I_04M;lr105;1;0
08R_08V_02I_04M;lr101;0;0
08R_08V_02I_04M;lr102;1;0
08R_08V_02I_04M;lr103;0;0
08R_08V_02I_04M;lr104;0;0
08R_08V_02I_04M;lr105;0;0
08R_08V_04I_04M;lr101;1;0
08R_08V_04I_04M;lr102;0;0
08R_08V_04I_04M;lr103;0;0
08R_08V_04I_04M;lr104;0;0
08R_08V_04I_04M;lr105;1;0
10R_10V_02I_04M;lr101;1;0
10R_10V_02I_04M;lr102;1;0
10R_10V_02I_04M;lr103;0;0
10R_10V_02I_04M;lr104;0;0
10R_10V_02I_04M;lr105;0;0
10R_10V_04I_04M;lr101;1;0
10R_10V_04I_04M;lr102;1;0
10R_10V_04I_04M;lr103;0;0
10R_10V_04I_04M;lr104;0;0
10R_10V_04I_04M;lr105;0;0
12R_12V_02I_04M;lr101;1;0
12R_12V_02I_04M;lr102;1;0
12R_12V_02I_04M;lr103;0;0
12R_12V_02I_04M;lr104;0;0
12R_12V_02I_04M;lr105;1;0
12R_12V_04I_04M;lr101;1;1
12R_12V_04I_04M;lr102;1;0
12R_12V_04I_04M;lr103;0;0
12R_12V_04I_04M;lr104;0;0
12R_12V_04I_04M;lr105;0;0
