name;group;type;obj_value_grb;gap_grb;n_vehicles_used_grb;time_grb;status;optimal;tle_feas;tle_not_feas
lr101;06R_06V_02I_03M;t1;779.08;0;1;0.08;2;1;0;0
lr101;06R_06V_02I_04M;t1;758.09;0;1;0.09;2;1;0;0
lr102;06R_06V_02I_03M;t1;536.97;0;0.67;1.09;2;1;0;0
lr102;06R_06V_02I_04M;t1;536.97;0;0.67;1.65;2;1;0;0
lr103;06R_06V_02I_03M;t1;454.4;0;0.5;22.47;2;1;0;0
lr103;06R_06V_02I_04M;t1;451.61;0;0.5;24.22;2;1;0;0
lr104;06R_06V_02I_03M;t1;431.14;0;0.5;11.69;2;1;0;0
lr104;06R_06V_02I_04M;t1;426.97;0;0.5;14.63;2;1;0;0
lr105;06R_06V_02I_03M;t1;468.59;0;0.67;0.33;2;1;0;0
lr105;06R_06V_02I_04M;t1;468.59;0;0.67;0.39;2;1;0;0
lr101;06R_06V_04I_03M;t1;780.14;0;1;0.28;2;1;0;0
lr101;06R_06V_04I_04M;t1;757.4;0;1;0.13;2;1;0;0
lr102;06R_06V_04I_03M;t1;614.27;0;0.67;1.79;2;1;0;0
lr102;06R_06V_04I_04M;t1;606.4;0;0.67;2.93;2;1;0;0
lr103;06R_06V_04I_03M;t1;448.87;0;0.5;83.59;2;1;0;0
lr103;06R_06V_04I_04M;t1;446.87;0;0.5;61.46;2;1;0;0
lr104;06R_06V_04I_03M;t1;469.54;0;0.5;25.63;2;1;0;0
lr104;06R_06V_04I_04M;t1;465.1;0;0.5;35.79;2;1;0;0
lr105;06R_06V_04I_03M;t1;521.52;0;0.67;0.35;2;1;0;0
lr105;06R_06V_04I_04M;t1;513.04;0;0.67;0.47;2;1;0;0
lr101;08R_08V_02I_03M;t1;946.87;0;0.88;0.14;2;1;0;0
lr101;08R_08V_02I_04M;t1;946.51;0;0.88;0.14;2;1;0;0
lr102;08R_08V_02I_03M;t1;765.67;0;0.75;170.76;2;1;0;0
lr102;08R_08V_02I_04M;t1;765.67;0;0.75;158.87;2;1;0;0
